2022/8/18 11:45: HTTP server online.
2022/8/18 11:45: 2468: [::1]: GET /
2022/8/18 11:45: 2468: [::1]: 401 Unauthorized
2022/8/18 11:45: 3116: [::1]: GET /
2022/8/18 11:45: 3116: [::1]: 401 Unauthorized
2022/8/18 11:45: 2076: [::1]: GET /
2022/8/18 11:45: 2076: [::1]: 200 OK
2022/8/18 11:45: 2468: [::1]: GET /style.css
2022/8/18 11:45: 2468: [::1]: 200 OK
2022/8/18 11:45: 2948: [::1]: GET /schemes/atelier-dune.css
2022/8/18 11:45: 2948: [::1]: 200 OK
2022/8/18 11:45: 3624: [::1]: GET /vendor/katex/katex.min.css
2022/8/18 11:45: 3624: [::1]: 200 OK
2022/8/18 11:45: 3028: [::1]: GET /vendor/hljs/styles/hybrid.min.css
2022/8/18 11:45: 3028: [::1]: 200 OK
2022/8/18 11:45: 2612: [::1]: GET /vendor/katex/katex.min.js
2022/8/18 11:45: 2612: [::1]: 200 OK
2022/8/18 11:45: 1524: [::1]: GET /vendor/remarkable-katex/remarkableKatex.min.js
2022/8/18 11:45: 1524: [::1]: 200 OK
2022/8/18 11:45: 2468: [::1]: GET /vendor/hljs/highlight.min.js
2022/8/18 11:45: 2468: [::1]: 200 OK
2022/8/18 11:45: 3472: [::1]: GET /vendor/remarkable/remarkable.min.js
2022/8/18 11:45: 3472: [::1]: 200 OK
2022/8/18 11:45: 3804: [::1]: GET /static/auth.js
2022/8/18 11:45: 3804: [::1]: 200 OK
2022/8/18 11:45: 3028: [::1]: GET /jquery.min.js
2022/8/18 11:45: 3028: [::1]: 200 OK
2022/8/18 11:45: 2668: [::1]: GET /static/layer/layer.js
2022/8/18 11:45: 2668: [::1]: 200 OK
2022/8/18 11:45: 2712: [::1]: GET /static/dplayer/DPlayer.min.js
2022/8/18 11:45: 2712: [::1]: 200 OK
2022/8/18 11:45: 1604: [::1]: GET /client.js
2022/8/18 11:45: 1604: [::1]: 200 OK
2022/8/18 11:45: 3028: [::1]: GET /static/pcm-recorder.js
2022/8/18 11:45: 3028: [::1]: 200 OK
2022/8/18 11:45: 2668: [::1]: GET /static/socket.io.js/socket.io.js
2022/8/18 11:45: 2668: [::1]: 200 OK
2022/8/18 11:45: 3668: [::1]: GET /static/pcm-player.js
2022/8/18 11:45: 3668: [::1]: 200 OK
2022/8/18 11:45: 2612: [::1]: GET /static/dist/recorder-core.js
2022/8/18 11:45: 2612: [::1]: 200 OK
2022/8/18 11:45: 2376: [::1]: GET /static/dist/engine/mp3.js
2022/8/18 11:45: 2376: [::1]: 200 OK
2022/8/18 11:45: 2592: [::1]: GET /audio/notify.m4a
2022/8/18 11:45: 2592: [::1]: 200 OK
2022/8/18 11:45: 2592: [::1]: GET /static/layer/theme/default/layer.css?v=3.5.1
2022/8/18 11:45: 2592: [::1]: 200 OK
2022/8/18 11:45: 2376: [::1]: GET /e61d8459-ee9b-4e19-9875-cb6cfc7ec62a.woff
2022/8/18 11:45: 2376: [::1]: 200 OK
2022/8/18 11:45: 1304: [::1]: GET /favicon.ico
2022/8/18 11:45: 1304: [::1]: 200 OK
2022/8/18 11:46: 3440: [::1]: GET /
2022/8/18 11:46: 3440: [::1]: 200 OK
2022/8/18 11:46: 260: [::1]: GET /main.css
2022/8/18 11:46: 260: [::1]: 200 OK
2022/8/18 11:46: 2260: [::1]: GET /Everything.gif
2022/8/18 11:46: 2260: [::1]: 200 OK
2022/8/18 11:46: 2296: [::1]: GET /up.gif
2022/8/18 11:46: 2296: [::1]: 200 OK
2022/8/18 11:46: 3440: [::1]: GET /folder.gif
2022/8/18 11:46: 3440: [::1]: 200 OK
2022/8/18 11:46: 2608: [::1]: GET /D%3A
2022/8/18 11:46: 2608: [::1]: 200 OK
2022/8/18 11:46: 3440: [::1]: GET /updir.gif
2022/8/18 11:46: 3440: [::1]: 200 OK
2022/8/18 11:46: 1304: [::1]: GET /D%3A/Program%20Files
2022/8/18 11:46: 1304: [::1]: 200 OK
2022/8/18 11:46: 2296: [::1]: GET /file.gif
2022/8/18 11:46: 2296: [::1]: 200 OK
2022/8/18 11:46: 2260: [::1]: GET /D%3A
2022/8/18 11:46: 2260: [::1]: 200 OK
2022/8/18 11:46: 2260: [::1]: GET /
2022/8/18 11:46: 2260: [::1]: 200 OK
2022/8/18 11:47: 3600: [::1]: GET /
2022/8/18 11:47: 3600: [::1]: 200 OK
2022/8/18 11:56: 3000: 127.0.0.1: GET /
2022/8/18 11:56: 3000: 127.0.0.1: 401 Unauthorized
2022/8/18 11:58: 3516: 127.0.0.1: GET /
2022/8/18 11:58: 3516: 127.0.0.1: 200 OK
2022/8/18 11:58: 3000: 127.0.0.1: GET /style.css
2022/8/18 11:58: 3000: 127.0.0.1: 200 OK
2022/8/18 11:58: 3064: 127.0.0.1: GET /schemes/atelier-dune.css
